trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
A_11_outbound_0655,06:55:00,06:55:00,22273,1,1
A_11_outbound_0655,,,22008,2,0
A_11_outbound_0655,,,22014,3,0
A_11_outbound_0655,,,22005,4,0
A_11_outbound_0655,,,22007,5,0
A_11_outbound_0655,07:00:00,07:00:00,22011,6,1
A_11_outbound_0655,,,22031,7,0
A_11_outbound_0655,,,22033,8,0
A_11_outbound_0655,,,22076,9,0
A_11_outbound_0655,,,22075,10,0
A_11_outbound_0655,07:07:00,07:07:00,22073,11,1
A_11_outbound_0655,,,22234,12,0
A_11_outbound_0655,,,22237,13,0
A_11_outbound_0655,,,22070,14,0
A_11_outbound_0655,,,22300,15,0
A_11_outbound_0655,,,22067,16,0
A_11_outbound_0655,,,22235,17,0
A_11_outbound_0655,07:11:00,07:11:00,22066,18,1
A_11_outbound_0655,,,22243,19,0
A_11_outbound_0655,,,22061,20,0
A_11_outbound_0655,07:15:00,07:15:00,22062,21,1
A_13_outbound_0655,06:55:00,06:55:00,22273,1,1
A_13_outbound_0655,,,22008,2,0
A_13_outbound_0655,,,22014,3,0
A_13_outbound_0655,,,22005,4,0
A_13_outbound_0655,,,22007,5,0
A_13_outbound_0655,07:00:00,07:00:00,22011,6,1
A_13_outbound_0655,,,22031,7,0
A_13_outbound_0655,,,22033,8,0
A_13_outbound_0655,,,22076,9,0
A_13_outbound_0655,,,22075,10,0
A_13_outbound_0655,07:07:00,07:07:00,22073,11,1
A_13_outbound_0655,,,22234,12,0
A_13_outbound_0655,,,22237,13,0
A_13_outbound_0655,,,22070,14,0
A_13_outbound_0655,,,22300,15,0
A_13_outbound_0655,,,22067,16,0
A_13_outbound_0655,,,22235,17,0
A_13_outbound_0655,07:11:00,07:11:00,22066,18,1
A_13_outbound_0655,,,22243,19,0
A_13_outbound_0655,,,22061,20,0
A_13_outbound_0655,07:15:00,07:15:00,22062,21,1
A_15_outbound_0655,06:55:00,06:55:00,22273,1,1
A_15_outbound_0655,,,22008,2,0
A_15_outbound_0655,,,22014,3,0
A_15_outbound_0655,,,22005,4,0
A_15_outbound_0655,,,22007,5,0
A_15_outbound_0655,07:00:00,07:00:00,22011,6,1
A_15_outbound_0655,,,22031,7,0
A_15_outbound_0655,,,22033,8,0
A_15_outbound_0655,,,22076,9,0
A_15_outbound_0655,,,22075,10,0
A_15_outbound_0655,07:07:00,07:07:00,22073,11,1
A_15_outbound_0655,,,22234,12,0
A_15_outbound_0655,,,22237,13,0
A_15_outbound_0655,,,22070,14,0
A_15_outbound_0655,,,22300,15,0
A_15_outbound_0655,,,22067,16,0
A_15_outbound_0655,,,22235,17,0
A_15_outbound_0655,07:11:00,07:11:00,22066,18,1
A_15_outbound_0655,,,22243,19,0
A_15_outbound_0655,,,22061,20,0
A_15_outbound_0655,07:15:00,07:15:00,22062,21,1
A_31_outbound_0655,06:55:00,06:55:00,22273,1,1
A_31_outbound_0655,,,22008,2,0
A_31_outbound_0655,,,22014,3,0
A_31_outbound_0655,,,22005,4,0
A_31_outbound_0655,,,22007,5,0
A_31_outbound_0655,07:00:00,07:00:00,22011,6,1
A_31_outbound_0655,,,22031,7,0
A_31_outbound_0655,,,22033,8,0
A_31_outbound_0655,,,22076,9,0
A_31_outbound_0655,,,22075,10,0
A_31_outbound_0655,07:07:00,07:07:00,22073,11,1
A_31_outbound_0655,,,22234,12,0
A_31_outbound_0655,,,22237,13,0
A_31_outbound_0655,,,22070,14,0
A_31_outbound_0655,,,22300,15,0
A_31_outbound_0655,,,22067,16,0
A_31_outbound_0655,,,22235,17,0
A_31_outbound_0655,07:11:00,07:11:00,22066,18,1
A_31_outbound_0655,,,22243,19,0
A_31_outbound_0655,,,22061,20,0
A_31_outbound_0655,07:15:00,07:15:00,22062,21,1
A_33_outbound_0655,06:55:00,06:55:00,22273,1,1
A_33_outbound_0655,,,22008,2,0
A_33_outbound_0655,,,22014,3,0
A_33_outbound_0655,,,22005,4,0
A_33_outbound_0655,,,22007,5,0
A_33_outbound_0655,07:00:00,07:00:00,22011,6,1
A_33_outbound_0655,,,22031,7,0
A_33_outbound_0655,,,22033,8,0
A_33_outbound_0655,,,22076,9,0
A_33_outbound_0655,,,22075,10,0
A_33_outbound_0655,07:07:00,07:07:00,22073,11,1
A_33_outbound_0655,,,22234,12,0
A_33_outbound_0655,,,22237,13,0
A_33_outbound_0655,,,22070,14,0
A_33_outbound_0655,,,22300,15,0
A_33_outbound_0655,,,22067,16,0
A_33_outbound_0655,,,22235,17,0
A_33_outbound_0655,07:11:00,07:11:00,22066,18,1
A_33_outbound_0655,,,22243,19,0
A_33_outbound_0655,,,22061,20,0
A_33_outbound_0655,07:15:00,07:15:00,22062,21,1
A_11_outbound_0755,07:55:00,07:55:00,22273,1,1
A_11_outbound_0755,,,22008,2,0
A_11_outbound_0755,,,22014,3,0
A_11_outbound_0755,,,22005,4,0
A_11_outbound_0755,,,22007,5,0
A_11_outbound_0755,08:00:00,08:00:00,22011,6,1
A_11_outbound_0755,,,22031,7,0
A_11_outbound_0755,,,22033,8,0
A_11_outbound_0755,,,22076,9,0
A_11_outbound_0755,,,22075,10,0
A_11_outbound_0755,08:07:00,08:07:00,22073,11,1
A_11_outbound_0755,,,22234,12,0
A_11_outbound_0755,,,22237,13,0
A_11_outbound_0755,,,22070,14,0
A_11_outbound_0755,,,22300,15,0
A_11_outbound_0755,,,22067,16,0
A_11_outbound_0755,,,22235,17,0
A_11_outbound_0755,08:11:00,08:11:00,22066,18,1
A_11_outbound_0755,,,22243,19,0
A_11_outbound_0755,,,22061,20,0
A_11_outbound_0755,08:15:00,08:15:00,22062,21,1
A_13_outbound_0755,07:55:00,07:55:00,22273,1,1
A_13_outbound_0755,,,22008,2,0
A_13_outbound_0755,,,22014,3,0
A_13_outbound_0755,,,22005,4,0
A_13_outbound_0755,,,22007,5,0
A_13_outbound_0755,08:00:00,08:00:00,22011,6,1
A_13_outbound_0755,,,22031,7,0
A_13_outbound_0755,,,22033,8,0
A_13_outbound_0755,,,22076,9,0
A_13_outbound_0755,,,22075,10,0
A_13_outbound_0755,08:07:00,08:07:00,22073,11,1
A_13_outbound_0755,,,22234,12,0
A_13_outbound_0755,,,22237,13,0
A_13_outbound_0755,,,22070,14,0
A_13_outbound_0755,,,22300,15,0
A_13_outbound_0755,,,22067,16,0
A_13_outbound_0755,,,22235,17,0
A_13_outbound_0755,08:11:00,08:11:00,22066,18,1
A_13_outbound_0755,,,22243,19,0
A_13_outbound_0755,,,22061,20,0
A_13_outbound_0755,08:15:00,08:15:00,22062,21,1
A_15_outbound_0755,07:55:00,07:55:00,22273,1,1
A_15_outbound_0755,,,22008,2,0
A_15_outbound_0755,,,22014,3,0
A_15_outbound_0755,,,22005,4,0
A_15_outbound_0755,,,22007,5,0
A_15_outbound_0755,08:00:00,08:00:00,22011,6,1
